"","timestamp","open BTCUSDT","high BTCUSDT","low BTCUSDT","close BTCUSDT","volume BTCUSDT","closetime BTCUSDT","quote_avg BTCUSDT","trades BTCUSDT","open DASHUSDT","high DASHUSDT","low DASHUSDT","close DASHUSDT","volume DASHUSDT","closetime DASHUSDT","quote_avg DASHUSDT","trades DASHUSDT","open ZRXUSDT","high ZRXUSDT","low ZRXUSDT","close ZRXUSDT","volume ZRXUSDT","closetime ZRXUSDT","quote_avg ZRXUSDT","trades ZRXUSDT","open ETHUSDT","high ETHUSDT","low ETHUSDT","close ETHUSDT","volume ETHUSDT","closetime ETHUSDT","quote_avg ETHUSDT","trades ETHUSDT","open LTCUSDT","high LTCUSDT","low LTCUSDT","close LTCUSDT","volume LTCUSDT","closetime LTCUSDT","quote_avg LTCUSDT","trades LTCUSDT","open XMRUSDT","high XMRUSDT","low XMRUSDT","close XMRUSDT","volume XMRUSDT","closetime XMRUSDT","quote_avg XMRUSDT","trades XMRUSDT","open XRPUSDT","high XRPUSDT","low XRPUSDT","close XRPUSDT","volume XRPUSDT","closetime XRPUSDT","quote_avg XRPUSDT","trades XRPUSDT"
"1","2019-03-29",4028.22,4123.71,4024.03,4103.25,30084.217444,"2019-03-29 23:59:59.999",122585822.586505,203826,95.74,98.19,94.91,98.13,3565.30155,"2019-03-29 23:59:59.999",345397.9745122,1721,0.3055,0.3078,0.3,0.3063,1392299.95,"2019-03-29 23:59:59.999",422831.740471,2052,137.85,143.6,137.62,143.25,235853.0454,"2019-03-29 23:59:59.999",33098245.9556135,94717,60.48,61.8,60.15,61.45,200422.34535,"2019-03-29 23:59:59.999",12200871.3372611,34196,52.57,54.15,52.18,53.72,6652.54724,"2019-03-29 23:59:59.999",354685.523432,1770,0.30603,0.31042,0.30475,0.30774,52565413.4,"2019-03-29 23:59:59.999",16151708.193281,52467
"2","2019-03-30",4104.24,4140,4052,4106.97,19509.292601,"2019-03-30 23:59:59.999",79853835.581824,162463,98.3,101,95.5,100.78,3540.27743,"2019-03-30 23:59:59.999",348446.5285333,1440,0.3065,0.3239,0.3036,0.3109,2028996.97,"2019-03-30 23:59:59.999",632108.755812,3369,143.25,145.89,140.06,142.46,254798.70067,"2019-03-30 23:59:59.999",36382647.2268952,97751,61.41,61.56,59.59,60.45,161304.26128,"2019-03-30 23:59:59.999",9780439.5002168,28519,53.58,54,53.01,53.53,3337.9065,"2019-03-30 23:59:59.999",178789.1406983,816,0.30775,0.31834,0.30687,0.31107,66842364.5,"2019-03-30 23:59:59.999",20896399.78371,62859
"3","2019-03-31",4106.99,4116.12,4082.57,4103.95,13525.087433,"2019-03-31 23:59:59.999",55472147.1270168,124046,100.58,110.89,99.61,110.7,11668.43675,"2019-03-31 23:59:59.999",1233115.567243,5298,0.3117,0.3277,0.3094,0.3245,1523279.73,"2019-03-31 23:59:59.999",485744.056461,2897,142.44,142.5,140.42,141.38,142469.21171,"2019-03-31 23:59:59.999",20131931.6990724,65047,60.45,60.72,59.83,60.48,120015.86005,"2019-03-31 23:59:59.999",7234304.2504601,21554,53.5,56.83,50.56,56.07,12798.87428,"2019-03-31 23:59:59.999",702655.9539237,2517,0.31092,0.31168,0.30718,0.30889,31804560,"2019-03-31 23:59:59.999",9842096.875464,37012
"4","2019-04-01",4102.44,4158.7,4067,4144.56,25507.067641,"2019-04-01 23:59:59.999",105388238.147889,184268,110.5,120.06,107.71,112.97,16508.93631,"2019-04-01 23:59:59.999",1902034.8735968,8567,0.324,0.3414,0.3159,0.3327,2050047.46,"2019-04-01 23:59:59.999",681820.068468,4565,141.41,143.08,139.57,141.24,234310.19161,"2019-04-01 23:59:59.999",33234998.6438733,90705,60.47,60.9,59.62,60.45,129238.66121,"2019-04-01 23:59:59.999",7810478.4448446,23841,56.01,60.5,55.66,60.13,16485.98216,"2019-04-01 23:59:59.999",959685.1252701,3647,0.30889,0.31455,0.30739,0.31248,43573420.6,"2019-04-01 23:59:59.999",13587510.978309,45109
"5","2019-04-02",4144.54,4897.99,4140.54,4857.29,105383.639263,"2019-04-02 23:59:59.999",489018726.757507,609133,113.28,125.84,111.03,123.69,15379.30754,"2019-04-02 23:59:59.999",1833220.6977836,8188,0.3327,0.3814,0.32,0.3743,5394853.04,"2019-04-02 23:59:59.999",1869731.225214,9645,141.24,165.6,141,163.31,906868.8586,"2019-04-02 23:59:59.999",138094679.302043,289637,60.45,78.4,59.95,76.78,805505.16575,"2019-04-02 23:59:59.999",55327330.1915808,141343,60.05,70,58.87,68.94,31894.06812,"2019-04-02 23:59:59.999",2024025.2262243,7583,0.31249,0.35571,0.3115,0.3505,254825056.8,"2019-04-02 23:59:59.999",84753414.780293,184258
"6","2019-04-03",4857.19,5275.01,4753.5,4932.6,109890.125743,"2019-04-03 23:59:59.999",548900970.917884,692019,123.5,139.1,118.38,123.43,26058.20443,"2019-04-03 23:59:59.999",3456383.9144395,12599,0.376,0.3895,0.3201,0.3504,5170588.51,"2019-04-03 23:59:59.999",1905486.605957,10456,163.26,177.81,149.23,159.96,1345344.53845,"2019-04-03 23:59:59.999",225523896.201466,423036,76.76,98.5,76.24,85.19,1514710.29313,"2019-04-03 23:59:59.999",130062156.107703,245574,68.83,72.9,60.01,65.88,36232.35681,"2019-04-03 23:59:59.999",2486613.9390308,8219,0.3505,0.3705,0.32354,0.34022,317885933,"2019-04-03 23:59:59.999",113046169.785911,242363
"7","2019-04-04",4932.59,5039.08,4777,4898.66,61054.254168,"2019-04-04 23:59:59.999",301411332.009024,419141,123.78,131.65,119.02,122.87,8434.43214,"2019-04-04 23:59:59.999",1054060.3370459,6036,0.3515,0.3597,0.3248,0.3362,2904962.84,"2019-04-04 23:59:59.999",995353.35838,5904,159.96,164,152.8,157.36,686080.95248,"2019-04-04 23:59:59.999",109082183.587735,242989,85.02,89.85,79.85,84.7,775702.67217,"2019-04-04 23:59:59.999",66127061.9191573,138439,65.88,66.77,61.15,63.57,14457.30872,"2019-04-04 23:59:59.999",930955.1406667,4107,0.34022,0.34669,0.325,0.32996,142045982.4,"2019-04-04 23:59:59.999",47714820.701926,134293
"8","2019-04-05",4898.64,5028.22,4880.62,5004.95,39768.552806,"2019-04-05 23:59:59.999",197660830.710967,292375,122.87,134.24,122.87,132.78,5803.26085,"2019-04-05 23:59:59.999",752865.5737238,3435,0.3365,0.3575,0.3359,0.357,1414997.59,"2019-04-05 23:59:59.999",493793.47183,2965,157.33,167.83,155.94,164.77,516070.34553,"2019-04-05 23:59:59.999",84123101.326904,175261,84.71,89.85,83.65,88.24,366668.99563,"2019-04-05 23:59:59.999",31984491.3758827,78405,63.77,69.08,63.22,69.08,16267.2802,"2019-04-05 23:59:59.999",1087178.449689,3721,0.32996,0.37999,0.32994,0.3613,277642035.5,"2019-04-05 23:59:59.999",100621892.665417,216258
"9","2019-04-06",5004.96,5205,4928.59,5043.89,41770.842313,"2019-04-06 23:59:59.999",210963411.613132,281237,132.84,137.83,128.01,130.93,4302.73303,"2019-04-06 23:59:59.999",569185.4871077,3282,0.3578,0.3636,0.3475,0.3527,1292454.16,"2019-04-06 23:59:59.999",460083.196688,3147,164.84,172.77,159.2,165.5,528168.33297,"2019-04-06 23:59:59.999",87657058.1149817,163384,88.24,97.54,85,92.21,706789.23459,"2019-04-06 23:59:59.999",65322880.0905888,117115,68.93,69.97,66.32,67.82,16698.18642,"2019-04-06 23:59:59.999",1137581.9156323,4563,0.36118,0.36224,0.3461,0.35264,127333234.4,"2019-04-06 23:59:59.999",45233281.721602,112820
"10","2019-04-07",5042.07,5234,5026,5170.27,37615.486804,"2019-04-07 23:59:59.999",192916750.571904,274084,130.55,135.33,130.11,135.11,4221.6208,"2019-04-07 23:59:59.999",562267.3655962,2941,0.3532,0.37,0.3454,0.3537,2107292.38,"2019-04-07 23:59:59.999",757218.632928,4421,165.56,175.43,164.06,174.21,465507.52497,"2019-04-07 23:59:59.999",78876773.2967177,161529,92.23,95.44,88.74,91.55,404878.13429,"2019-04-07 23:59:59.999",37409101.1554274,91011,67.87,70.09,67.63,69.34,6695.73288,"2019-04-07 23:59:59.999",461679.2145325,2548,0.35267,0.367,0.35041,0.3612,110132996.9,"2019-04-07 23:59:59.999",39597409.587672,99902
